crop,Energy_kcal,Protein_g,Fat_g,Calcium_mg,Iron_mg,Zinc_mg,Thiamine_mg,Riboflavin_mg,Folic_acid_mg,Fiber_g
PearlMillet,361,11.6,5,42,8,3.1,0.33,0.25,45.5,1.2
Sorghum,349,10.4,1.9,25,4.1,1.6,0.37,0.13,20,1.6
Finger_Millet,328,7.3,1.3,34.4,3.9,2.3,0.42,0.19,18.3,3.6
Foxtail_Millet,331,12.3,4.3,31,2.8,2.4,0.59,0.11,15,8
Proso_Millet,341,7.7,4.7,17,9.3,3.7,0.21,0.01,9,7.6
Barnyard_Millet,397,6.2,2.2,20,5,3,0.33,0.1,NA,9.8
Kodo_Millet,309,8.3,1.4,27,0.5,0.7,0.33,0.09,23.1,9
Rice_milled,345,6.8,0.4,10,3.2,1.4,0.06,0.06,8,0.2
Maize,342,11.1,3.6,10,2.3,2.8,0.42,0.1,20,2.7
Wheat_flour,346,12.1,1.7,48,4.9,2.2,0.49,0.17,36.6,1.2
